,OlfN,TotalN,Tokens
crown_NN,58,0,"['crown_NNS', 'crown_NN', 'crown_NNP']"
colonist_NN,48,0,['colonist_NNS']
tense_VB,17,0,"['tense_VBN', 'tense_VBG', 'tense_VBD']"
delete_VB,72,0,"['delete_VBN', 'delete_VB', 'delete_VBG', 'delete_VBD']"
russell_NN,49,0,['russell_NNP']
unravel_VB,18,0,"['unravel_VBG', 'unravel_VB', 'unravel_VBN', 'unravel_VBZ']"
physic_NN,115,0,"['physic_NN', 'physic_NNS', 'physic_NNP', 'physic_NNPS']"
step_VB,398,0,"['step_VBD', 'step_VBG', 'step_VB', 'step_VBZ', 'step_VBN', 'step_VBP']"
scrap_VB,34,0,"['scrap_VBG', 'scrap_VB', 'scrap_VBN', 'scrap_VBD']"
layer_NN,128,0,"['layer_NNS', 'layer_NN', 'layer_NNP']"
discontent_NN,145,0,"['discontent_NN', 'discontent_NNS']"
acquisition_NN,56,0,"['acquisition_NN', 'acquisition_NNP', 'acquisition_NNS']"
original_JJ,590,0,['original_JJ']
synthesize_VB,23,0,"['synthesize_VBD', 'synthesize_VBG', 'synthesize_VB', 'synthesize_VBN']"
phenomenon_NN,172,0,"['phenomenon_NNS', 'phenomenon_NN']"
imagination_NN,309,0,"['imagination_NN', 'imagination_NNS', 'imagination_NNP']"
experiment_NN,346,0,"['experiment_NN', 'experiment_NNP', 'experiment_NNS']"
aesthetic_JJ,147,0,['aesthetic_JJ']
divide_VB,180,0,"['divide_VBN', 'divide_VBG', 'divide_VBZ', 'divide_VB', 'divide_VBP', 'divide_VBD']"
sticky_JJ,110,0,['sticky_JJ']
cream_NN,36,0,"['cream_NN', 'cream_NNS']"
scope_NN,165,0,"['scope_NN', 'scope_NNP', 'scope_NNS']"
antipathy_NN,71,0,"['antipathy_NN', 'antipathy_NNS']"
super_JJ,49,0,['super_JJ']
merit_NN,196,0,"['merit_NN', 'merit_NNS', 'merit_NNP']"
preference_NN,220,0,"['preference_NN', 'preference_NNS', 'preference_NNP', 'preference_NNPS']"
cowardice_NN,17,0,['cowardice_NN']
intrigue_NN,14,0,"['intrigue_NN', 'intrigue_NNS']"
exquisitely_RB,27,0,['exquisitely_RB']
degraded_JJ,96,0,['degraded_JJ']
aloud_RB,47,0,['aloud_RB']
concerned_JJ,388,0,['concerned_JJ']
overwhelmingly_RB,106,0,['overwhelmingly_RB']
lightweight_JJ,47,0,['lightweight_JJ']
discharge_VB,76,0,"['discharge_VB', 'discharge_VBZ', 'discharge_VBP', 'discharge_VBN', 'discharge_VBD', 'discharge_VBG']"
outrage_NN,318,0,"['outrage_NN', 'outrage_NNS']"
uncommon_JJ,83,0,['uncommon_JJ']
approbation_NN,35,0,['approbation_NN']
brad_NN,25,0,"['brad_NNP', 'brad_NNS']"
sail_VB,22,0,"['sail_VBG', 'sail_VBN', 'sail_VB', 'sail_VBP', 'sail_VBD']"
recreate_VB,122,0,"['recreate_VBN', 'recreate_VBG', 'recreate_VB', 'recreate_VBP', 'recreate_VBZ', 'recreate_VBD']"
intellect_NN,161,0,"['intellect_NN', 'intellect_NNS']"
active_JJ,405,0,['active_JJ']
fertility_NN,21,0,['fertility_NN']
b._NN,68,0,"['b._NNP', 'b._NN']"
land_VB,85,0,"['land_VBD', 'land_VBN', 'land_VBP', 'land_VB', 'land_VBG']"
scent_NN,48,0,"['scent_NN', 'scent_NNS', 'scent_NNP']"
smell_VB,616,0,"['smell_VBZ', 'smell_VBD', 'smell_VBN', 'smell_VB', 'smell_VBG', 'smell_VBP']"
rule_VB,79,0,"['rule_VBG', 'rule_VBN', 'rule_VB', 'rule_VBP', 'rule_VBZ', 'rule_VBD']"
scattered_JJ,14,0,['scattered_JJ']
association_NN,487,0,"['association_NNS', 'association_NN', 'association_NNP', 'association_NNPS']"
reborn_JJ,40,0,['reborn_JJ']
white_JJ,760,0,"['white_JJ', 'white_JJR']"
resemble_VB,88,0,"['resemble_VBZ', 'resemble_VBD', 'resemble_VBP', 'resemble_VB', 'resemble_VBG', 'resemble_VBN']"
spoil_VB,65,0,"['spoil_VBG', 'spoil_VBN', 'spoil_VBD', 'spoil_VB', 'spoil_VBP']"
application_NN,780,0,"['application_NN', 'application_NNS', 'application_NNP']"
symposium_NN,44,0,"['symposium_NN', 'symposium_NNP', 'symposium_NNS']"
wrist_NN,80,0,"['wrist_NNS', 'wrist_NN']"
incapable_JJ,240,0,['incapable_JJ']
reply_NN,65,0,"['reply_NNS', 'reply_NN']"
distinctly_RB,294,0,['distinctly_RB']
balm_NN,10,0,"['balm_NNS', 'balm_NN']"
condemn_VB,145,0,"['condemn_VBN', 'condemn_VB', 'condemn_VBG', 'condemn_VBD', 'condemn_VBP', 'condemn_VBZ']"
transform_VB,150,0,"['transform_VBZ', 'transform_VBN', 'transform_VB', 'transform_VBP', 'transform_VBG', 'transform_VBD']"
depressing_JJ,47,0,['depressing_JJ']
uselessness_NN,32,0,['uselessness_NN']
hate_NN,215,0,"['hate_NN', 'hate_NNP']"
largely_RB,271,0,['largely_RB']
unconscious_JJ,179,0,['unconscious_JJ']
noble_JJ,298,0,"['noble_JJ', 'noble_JJR', 'noble_JJS']"
mirror_VB,102,0,"['mirror_VBD', 'mirror_VBZ', 'mirror_VBN', 'mirror_VBP', 'mirror_VB', 'mirror_VBG']"
ideal_NN,120,0,"['ideal_NN', 'ideal_NNS', 'ideal_NNP']"
bent_NN,23,0,['bent_NN']
twig_NN,12,0,"['twig_NNS', 'twig_NN']"
waver_VB,26,0,"['waver_VB', 'waver_VBZ', 'waver_VBG', 'waver_VBD', 'waver_VBP', 'waver_VBN']"
thy_JJ,36,0,['thy_JJ']
suspicion_NN,223,0,"['suspicion_NNS', 'suspicion_NN']"
pregnancy_NN,180,0,"['pregnancy_NN', 'pregnancy_NNS']"
out_RB,330,0,['out_RB']
inferior_JJ,472,0,['inferior_JJ']
dubious_JJ,27,0,['dubious_JJ']
ambiguous_JJ,78,0,['ambiguous_JJ']
attempt_NN,402,0,"['attempt_NNS', 'attempt_NN', 'attempt_NNP']"
boring_JJ,62,0,['boring_JJ']
row_NN,72,0,"['row_NNS', 'row_NNP', 'row_NN']"
column_NN,110,0,"['column_NNS', 'column_NN']"
parliament_NN,75,0,"['parliament_NNP', 'parliament_NNS', 'parliament_NN']"
holiday_NN,249,0,"['holiday_NN', 'holiday_NNS', 'holiday_NNP', 'holiday_NNPS']"
wendy_NN,22,0,"['wendy_NNP', 'wendy_NN']"
acquit_VB,23,0,"['acquit_VBN', 'acquit_VBG', 'acquit_VBD', 'acquit_VBP', 'acquit_VB']"
accuser_NN,10,0,"['accuser_NNS', 'accuser_NN']"
theme_NN,243,0,"['theme_NN', 'theme_NNS', 'theme_NNPS', 'theme_NNP']"
synthetic_JJ,36,0,['synthetic_JJ']
triumph_NN,151,0,"['triumph_NN', 'triumph_NNS', 'triumph_NNP']"
remote_JJ,220,0,"['remote_JJS', 'remote_JJ']"
glimmer_NN,19,0,"['glimmer_NN', 'glimmer_NNS']"
series_NN,281,0,"['series_NN', 'series_NNP']"
building_NN,634,0,"['building_NN', 'building_NNS', 'building_NNP']"
bluff_NN,11,0,"['bluff_NN', 'bluff_NNP', 'bluff_NNPS']"
uniqueness_NN,39,0,['uniqueness_NN']
moan_VB,26,0,"['moan_VBG', 'moan_VBD', 'moan_VBZ', 'moan_VB', 'moan_VBP']"
louder_RB,18,0,['louder_RBR']
grab_VB,110,0,"['grab_VBD', 'grab_VBN', 'grab_VB', 'grab_VBP', 'grab_VBG']"
hold_NN,134,0,['hold_NN']
close_NN,114,0,"['close_NN', 'close_NNP', 'close_NNS']"
genius_NN,110,0,"['genius_NN', 'genius_NNS']"
chuckle_VB,19,0,"['chuckle_VBD', 'chuckle_VBZ', 'chuckle_VBG', 'chuckle_VB']"
rhythm_NN,264,0,"['rhythm_NNS', 'rhythm_NN']"
airway_NN,17,0,"['airway_NN', 'airway_NNPS', 'airway_NNS', 'airway_NNP']"
blockage_NN,10,0,"['blockage_NN', 'blockage_NNS']"
relatively_RB,401,0,['relatively_RB']
forefather_NN,10,0,['forefather_NNS']
flat_JJ,169,0,"['flat_JJ', 'flat_JJR']"
spring_VB,111,0,"['spring_VBD', 'spring_VB', 'spring_VBG', 'spring_VBZ', 'spring_VBN', 'spring_VBP']"
single_VB,112,0,"['single_VBN', 'single_VB', 'single_VBG']"
ridicule_NN,25,0,['ridicule_NN']
partially_RB,71,0,['partially_RB']
essence_NN,141,0,"['essence_NN', 'essence_NNS']"
mankind_NN,185,0,"['mankind_NN', 'mankind_NNP']"
tenderly_RB,38,0,['tenderly_RB']
tribal_JJ,84,0,['tribal_JJ']
agree_VB,575,0,"['agree_VB', 'agree_VBP', 'agree_VBZ', 'agree_VBD', 'agree_VBG', 'agree_VBN']"
stern_JJ,27,0,"['stern_JJ', 'stern_JJR']"
deed_NN,92,0,"['deed_NNS', 'deed_NNP', 'deed_NN']"
pick_VB,433,0,"['pick_VBP', 'pick_VB', 'pick_VBG', 'pick_VBD', 'pick_VBN', 'pick_VBZ']"
powder_NN,24,0,"['powder_NN', 'powder_NNP', 'powder_NNS']"
worry_NN,210,0,"['worry_NNS', 'worry_NN']"
scientific_JJ,271,0,['scientific_JJ']
orlando_NN,25,0,['orlando_NNP']
overheat_VB,16,0,"['overheat_VBN', 'overheat_VBG']"
disconnect_VB,454,0,"['disconnect_VBN', 'disconnect_VBZ', 'disconnect_VB', 'disconnect_VBG', 'disconnect_VBP', 'disconnect_VBD']"
definition_NN,222,0,"['definition_NN', 'definition_NNS']"
birth_NN,192,0,"['birth_NN', 'birth_NNS']"
mom_NN,326,0,"['mom_NNS', 'mom_NN', 'mom_NNP']"
suffocate_VB,112,0,"['suffocate_VBN', 'suffocate_VBG', 'suffocate_VB']"
mortality_NN,35,0,"['mortality_NN', 'mortality_NNP']"
horror_NN,498,0,"['horror_NN', 'horror_NNS', 'horror_NNP']"
republic_NN,98,0,"['republic_NN', 'republic_NNP', 'republic_NNS']"
perpetually_RB,31,0,['perpetually_RB']
mysterious_JJ,107,0,['mysterious_JJ']
withdraw_VB,226,0,"['withdraw_VBP', 'withdraw_VBD', 'withdraw_VB', 'withdraw_VBG', 'withdraw_VBN', 'withdraw_VBZ']"
avenge_VB,12,0,"['avenge_VB', 'avenge_VBD', 'avenge_VBN', 'avenge_VBP']"
award_VB,36,0,"['award_VBN', 'award_VBG', 'award_VBZ', 'award_VBD']"
adherent_NN,26,0,"['adherent_NNS', 'adherent_NN']"
federation_NN,44,0,"['federation_NN', 'federation_NNS', 'federation_NNP']"
accumulation_NN,17,0,"['accumulation_NN', 'accumulation_NNS']"
mild_JJ,270,0,"['mild_JJ', 'mild_JJR']"
episode_NN,213,0,"['episode_NNS', 'episode_NN', 'episode_NNP']"
off-balance_JJ,13,0,['off-balance_JJ']
declaration_NN,75,0,"['declaration_NNS', 'declaration_NN', 'declaration_NNP']"
photograph_NN,133,0,"['photograph_NNS', 'photograph_NN', 'photograph_NNP']"
international_NN,91,0,"['international_NNP', 'international_NNS', 'international_NNPS']"
half_JJ,80,0,['half_JJ']
inquire_VB,90,0,"['inquire_VBN', 'inquire_VB', 'inquire_VBD', 'inquire_VBP', 'inquire_VBG', 'inquire_VBZ']"
melt_VB,112,0,"['melt_VB', 'melt_VBG', 'melt_VBN', 'melt_VBZ', 'melt_VBD', 'melt_VBP']"
caress_NN,22,0,"['caress_NN', 'caress_NNP', 'caress_NNS']"
alcohol_NN,256,0,"['alcohol_NN', 'alcohol_NNP']"
gaze_VB,145,0,"['gaze_VB', 'gaze_VBP', 'gaze_VBG', 'gaze_VBZ', 'gaze_VBD', 'gaze_VBN']"
strengthened_JJ,14,0,['strengthened_JJ']
adjust_VB,223,0,"['adjust_VBP', 'adjust_VB', 'adjust_VBG', 'adjust_VBN', 'adjust_VBZ', 'adjust_VBD']"
regrettable_JJ,12,0,['regrettable_JJ']
club_NN,323,0,"['club_NN', 'club_NNP', 'club_NNS', 'club_NNPS']"
holland_NN,35,0,['holland_NNP']
socialist_JJ,28,0,['socialist_JJ']
peril_NN,40,0,"['peril_NN', 'peril_NNS']"
oppose_VB,396,0,"['oppose_VBG', 'oppose_VBN', 'oppose_VB', 'oppose_VBP', 'oppose_VBZ', 'oppose_VBD']"
plain_JJ,117,0,"['plain_JJ', 'plain_JJR', 'plain_JJS']"
reply_VB,284,0,"['reply_VB', 'reply_VBD', 'reply_VBN', 'reply_VBZ', 'reply_VBG', 'reply_VBP']"
diet_NN,128,0,"['diet_NN', 'diet_NNS', 'diet_NNP']"
pill_NN,86,0,"['pill_NNS', 'pill_NN', 'pill_NNP']"
lethargic_JJ,104,0,['lethargic_JJ']
deception_NN,33,0,"['deception_NN', 'deception_NNS']"
unjust_JJ,95,0,['unjust_JJ']
infringe_VB,59,0,"['infringe_VBN', 'infringe_VBD', 'infringe_VB', 'infringe_VBZ', 'infringe_VBG']"
atheist_NN,77,0,"['atheist_NN', 'atheist_NNS', 'atheist_NNPS', 'atheist_NNP']"
menace_NN,35,0,['menace_NN']
diary_NN,109,0,"['diary_NNS', 'diary_NNP', 'diary_NN']"
dub_VB,11,0,"['dub_VBG', 'dub_VBN', 'dub_VBD', 'dub_VBZ']"
dread_VB,38,0,"['dread_VBG', 'dread_VBD', 'dread_VBN', 'dread_VBZ']"
stupidity_NN,34,0,['stupidity_NN']
test_NN,699,0,"['test_NN', 'test_NNS', 'test_NNP', 'test_NNPS']"
trick_NN,49,0,"['trick_NN', 'trick_NNS', 'trick_NNPS']"
nolan_NN,17,0,['nolan_NNP']
regiment_NN,23,0,"['regiment_NN', 'regiment_NNS', 'regiment_NNP']"
typify_VB,10,0,"['typify_VBZ', 'typify_VB', 'typify_VBD', 'typify_VBN']"
interior_NN,72,0,"['interior_NN', 'interior_NNS', 'interior_NNP']"
village_NN,213,0,"['village_NNP', 'village_NN', 'village_NNS']"
cocaine_NN,115,0,['cocaine_NN']
restlessness_NN,119,0,['restlessness_NN']
advertising_NN,130,0,"['advertising_NN', 'advertising_NNP']"
decrease_NN,58,0,['decrease_NN']
production_NN,257,0,"['production_NN', 'production_NNS', 'production_NNP']"
plenty_JJ,14,0,['plenty_JJ']
cheating_NN,61,0,['cheating_NN']
collect_VB,131,0,"['collect_VBD', 'collect_VBG', 'collect_VB', 'collect_VBZ', 'collect_VBN', 'collect_VBP']"
justification_NN,114,0,"['justification_NN', 'justification_NNS']"
toll_NN,32,0,"['toll_NN', 'toll_NNP', 'toll_NNS']"
queen_NN,113,0,"['queen_NNP', 'queen_NN', 'queen_NNS']"
asleep_RB,97,0,['asleep_RB']
wake_NN,88,0,"['wake_NN', 'wake_NNS', 'wake_NNP']"
cruel_JJ,101,0,['cruel_JJ']
dissolve_VB,73,0,"['dissolve_VBP', 'dissolve_VB', 'dissolve_VBG', 'dissolve_VBN', 'dissolve_VBZ']"
readily_RB,112,0,['readily_RB']
occupy_VB,82,0,"['occupy_VBN', 'occupy_VBG', 'occupy_VBP', 'occupy_VB', 'occupy_VBZ', 'occupy_VBD']"
straight_RB,113,0,['straight_RB']
monastery_NN,16,0,"['monastery_NN', 'monastery_NNS']"
martin_NN,153,0,['martin_NNP']
suit_VB,220,0,"['suit_VBN', 'suit_VBZ', 'suit_VB', 'suit_VBD', 'suit_VBG']"
throbbing_NN,38,0,['throbbing_NN']
innermost_NN,124,0,"['innermost_NN', 'innermost_NNP']"
burst_VB,89,0,"['burst_VBG', 'burst_VB', 'burst_VBZ', 'burst_VBP']"
heavenly_JJ,43,0,['heavenly_JJ']
outburst_NN,53,0,"['outburst_NN', 'outburst_NNS']"
incline_VB,291,0,"['incline_VBN', 'incline_VB', 'incline_VBG', 'incline_VBZ', 'incline_VBP']"
despise_VB,67,0,"['despise_VB', 'despise_VBP', 'despise_VBN', 'despise_VBG', 'despise_VBZ', 'despise_VBD']"
remove_VB,526,0,"['remove_VBN', 'remove_VBG', 'remove_VB', 'remove_VBZ', 'remove_VBD', 'remove_VBP']"
cent_NN,316,0,"['cent_NNS', 'cent_NN', 'cent_NNP']"
ruffle_VB,51,0,"['ruffle_VB', 'ruffle_VBG', 'ruffle_VBN', 'ruffle_VBD', 'ruffle_VBZ']"
animate_VB,65,0,"['animate_VBD', 'animate_VBP', 'animate_VBZ', 'animate_VBN', 'animate_VBG', 'animate_VB']"
hearing_NN,419,0,"['hearing_NN', 'hearing_NNP', 'hearing_NNS']"
london_NN,191,0,"['london_NNP', 'london_NN']"
meditate_VB,51,0,"['meditate_VB', 'meditate_VBG', 'meditate_VBP', 'meditate_VBZ', 'meditate_VBN', 'meditate_VBD']"
involved_JJ,148,0,['involved_JJ']
phase_VB,10,0,"['phase_VBN', 'phase_VBD', 'phase_VB', 'phase_VBG']"
brim_NN,20,0,"['brim_NNS', 'brim_NN', 'brim_NNP']"
recapture_VB,47,0,"['recapture_VBZ', 'recapture_VB', 'recapture_VBG', 'recapture_VBN', 'recapture_VBP']"
magical_JJ,117,0,['magical_JJ']
amazing_JJ,340,0,['amazing_JJ']
cap_NN,112,0,"['cap_NNS', 'cap_NN', 'cap_NNP']"
triumph_VB,15,0,"['triumph_VBZ', 'triumph_VBN', 'triumph_VBD', 'triumph_VBG']"
bourgeois_JJ,17,0,['bourgeois_JJ']
near_RB,45,0,['near_RB']
narrow_JJ,121,0,"['narrow_JJ', 'narrow_JJR']"
minded_JJ,26,0,['minded_JJ']
literature_NN,229,0,"['literature_NN', 'literature_NNP']"
akin_JJ,204,0,['akin_JJ']
mundane_JJ,40,0,['mundane_JJ']
cold_NN,161,0,"['cold_NN', 'cold_NNP', 'cold_NNS']"
icy_NN,69,0,"['icy_NN', 'icy_NNP']"
ocean_NN,153,0,"['ocean_NN', 'ocean_NNP', 'ocean_NNS']"
mostly_RB,379,0,['mostly_RB']
tolerant_JJ,29,0,['tolerant_JJ']
maxim_NN,11,0,"['maxim_NNP', 'maxim_NNS', 'maxim_NN']"
gold_NN,83,0,"['gold_NN', 'gold_NNP', 'gold_NNS']"
dust_NN,88,0,"['dust_NN', 'dust_NNP', 'dust_NNS']"
antagonistic_JJ,51,0,['antagonistic_JJ']
segment_NN,93,0,"['segment_NNS', 'segment_NN']"
ivan_NN,25,0,['ivan_NNP']
brutal_JJ,57,0,['brutal_JJ']
deprivation_NN,97,0,"['deprivation_NN', 'deprivation_NNS']"
embody_VB,118,0,"['embody_VBG', 'embody_VB', 'embody_VBN', 'embody_VBZ', 'embody_VBD', 'embody_VBP']"
palpitation_NN,59,0,"['palpitation_NNS', 'palpitation_NN', 'palpitation_NNPS']"
freshman_NN,119,0,"['freshman_NNS', 'freshman_NN']"
allowance_NN,43,0,"['allowance_NN', 'allowance_NNS', 'allowance_NNP']"
agent_NN,381,0,"['agent_NN', 'agent_NNS', 'agent_NNP', 'agent_NNPS']"
annoyance_NN,105,0,"['annoyance_NN', 'annoyance_NNS', 'annoyance_NNPS']"
caller_NN,65,0,"['caller_NN', 'caller_NNS']"
couple_VB,85,0,['couple_VBN']
fighter_NN,55,0,"['fighter_NN', 'fighter_NNS', 'fighter_NNP']"
instinct_NN,239,0,"['instinct_NN', 'instinct_NNS', 'instinct_NNP']"
clinically_RB,28,0,['clinically_RB']
surgical_JJ,32,0,['surgical_JJ']
removal_NN,68,0,"['removal_NN', 'removal_NNS']"
nagging_JJ,247,0,['nagging_JJ']
star_NN,323,0,"['star_NNP', 'star_NNS', 'star_NN']"
contest_NN,89,0,"['contest_NN', 'contest_NNS', 'contest_NNP']"
apprehend_VB,26,0,"['apprehend_VBN', 'apprehend_VBP', 'apprehend_VBZ', 'apprehend_VB', 'apprehend_VBG', 'apprehend_VBD']"
ship_NN,210,0,"['ship_NN', 'ship_NNP', 'ship_NNS']"
naughty_JJ,29,0,['naughty_JJ']
animated_JJ,43,0,['animated_JJ']
holy_JJ,156,0,"['holy_JJ', 'holy_JJR', 'holy_JJS']"
prisoner_NN,206,0,"['prisoner_NN', 'prisoner_NNS', 'prisoner_NNPS']"
spring_NN,345,0,"['spring_NN', 'spring_NNS', 'spring_NNP']"
imprisonment_NN,37,0,['imprisonment_NN']
utopian_JJ,16,0,['utopian_JJ']
alice_NN,140,0,['alice_NNP']
camaraderie_NN,135,0,['camaraderie_NN']
brotherly_JJ,64,0,['brotherly_JJ']
honorable_JJ,98,0,['honorable_JJ']
comprehend_VB,85,0,"['comprehend_VBP', 'comprehend_VB', 'comprehend_VBG', 'comprehend_VBD', 'comprehend_VBN', 'comprehend_VBZ']"
blast_NN,90,0,"['blast_NN', 'blast_NNS', 'blast_NNP']"
dictate_VB,113,0,"['dictate_VBZ', 'dictate_VBN', 'dictate_VBD', 'dictate_VB', 'dictate_VBP']"
expose_VB,438,0,"['expose_VBN', 'expose_VB', 'expose_VBG', 'expose_VBZ', 'expose_VBD', 'expose_VBP']"
friendless_JJ,14,0,['friendless_JJ']
overall_RB,352,0,['overall_RB']
verdict_NN,48,0,"['verdict_NN', 'verdict_NNS']"
uncontrollable_JJ,69,0,['uncontrollable_JJ']
jew_NN,504,0,"['jew_NNPS', 'jew_NNP', 'jew_NNS', 'jew_NN']"
disturb_VB,96,0,"['disturb_VBZ', 'disturb_VBP', 'disturb_VBN', 'disturb_VBG', 'disturb_VB', 'disturb_VBD']"
remains_NN,30,0,['remains_NNS']
nun_NN,23,0,"['nun_NNS', 'nun_NN']"
tail_NN,46,0,"['tail_NN', 'tail_NNS']"
dozen_NN,79,0,"['dozen_NNS', 'dozen_NN', 'dozen_NNP']"
jot_VB,16,0,"['jot_VBG', 'jot_VBD', 'jot_VBN', 'jot_VBP', 'jot_VB']"
culminate_VB,25,0,"['culminate_VBD', 'culminate_VBG', 'culminate_VBZ', 'culminate_VBN', 'culminate_VBP']"
kindly_JJ,25,0,"['kindly_JJR', 'kindly_JJS']"
clay_NN,74,0,"['clay_NNP', 'clay_NN', 'clay_NNS']"
chill_VB,108,0,"['chill_VBG', 'chill_VBD', 'chill_VBN', 'chill_VBZ']"
sing_VB,286,0,"['sing_VBG', 'sing_VB', 'sing_VBP', 'sing_VBZ', 'sing_VBD', 'sing_VBN']"
hoarse_JJ,12,0,['hoarse_JJ']
cotton_NN,119,0,"['cotton_NN', 'cotton_NNP']"
strain_VB,89,0,"['strain_VBG', 'strain_VBN', 'strain_VBP', 'strain_VB', 'strain_VBD']"
manifest_JJ,72,0,"['manifest_JJ', 'manifest_JJS']"
forsake_VB,63,0,"['forsake_VBN', 'forsake_VBG', 'forsake_VB', 'forsake_VBZ', 'forsake_VBD']"
range_NN,575,0,"['range_NN', 'range_NNP', 'range_NNS']"
rebellion_NN,63,0,"['rebellion_NN', 'rebellion_NNP', 'rebellion_NNS']"
insert_VB,71,0,"['insert_VBG', 'insert_VBN', 'insert_VB', 'insert_VBD', 'insert_VBP']"
ignorance_NN,117,0,['ignorance_NN']
suppress_VB,275,0,"['suppress_VBG', 'suppress_VBP', 'suppress_VBN', 'suppress_VB', 'suppress_VBZ', 'suppress_VBD']"
nakedness_NN,15,0,['nakedness_NN']
partly_RB,298,0,['partly_RB']
intellectual_JJ,302,0,['intellectual_JJ']
gifted_JJ,65,0,['gifted_JJ']
collegiate_JJ,22,0,['collegiate_JJ']
liquid_NN,42,0,"['liquid_NNS', 'liquid_NN', 'liquid_NNP']"
swallow_VB,108,0,"['swallow_VBP', 'swallow_VB', 'swallow_VBG', 'swallow_VBN', 'swallow_VBD', 'swallow_VBZ']"
blush_VB,54,0,"['blush_VBG', 'blush_VB', 'blush_VBD', 'blush_VBP', 'blush_VBZ']"
blackness_NN,24,0,"['blackness_NN', 'blackness_NNP', 'blackness_NNPS', 'blackness_NNS']"
massive_JJ,115,0,['massive_JJ']
province_NN,147,0,"['province_NNS', 'province_NN', 'province_NNP']"
claim_VB,371,0,"['claim_VBZ', 'claim_VB', 'claim_VBD', 'claim_VBP', 'claim_VBG', 'claim_VBN']"
nationalism_NN,75,0,['nationalism_NN']
yates_NN,18,0,['yates_NNP']
crushed_JJ,53,0,['crushed_JJ']
coffin_NN,10,0,"['coffin_NN', 'coffin_NNS', 'coffin_NNP']"
horrified_JJ,29,0,['horrified_JJ']
commence_VB,46,0,"['commence_VBG', 'commence_VBN', 'commence_VBZ', 'commence_VBD', 'commence_VB', 'commence_VBP']"
section_NN,454,0,"['section_NN', 'section_NNS', 'section_NNP']"
genre_NN,61,0,"['genre_NN', 'genre_NNS']"
surprise_NN,430,0,"['surprise_NN', 'surprise_NNS', 'surprise_NNP']"
muscle_NN,530,0,"['muscle_NNS', 'muscle_NN']"
courageous_JJ,41,0,['courageous_JJ']
poke_VB,52,0,"['poke_VBN', 'poke_VBG', 'poke_VB', 'poke_VBP', 'poke_VBD', 'poke_VBZ']"
rhythmic_JJ,45,0,['rhythmic_JJ']
pulsation_NN,39,0,"['pulsation_NNS', 'pulsation_NN', 'pulsation_NNP']"
intact_JJ,33,0,['intact_JJ']
duty-bound_JJ,90,0,['duty-bound_JJ']
vulnerability_NN,268,0,"['vulnerability_NN', 'vulnerability_NNS']"
venerable_JJ,18,0,['venerable_JJ']
freely_RB,181,0,['freely_RB']
mr_NN,373,0,"['mr_NNP', 'mr_NN']"
benevolence_NN,55,0,"['benevolence_NN', 'benevolence_NNP']"
weary_JJ,163,0,"['weary_JJ', 'weary_JJR']"
curved_JJ,10,0,['curved_JJ']
file_NN,236,0,"['file_NN', 'file_NNS', 'file_NNP']"
hand_VB,85,0,"['hand_VBN', 'hand_VB', 'hand_VBG', 'hand_VBD', 'hand_VBP', 'hand_VBZ']"
savage_NN,43,0,"['savage_NN', 'savage_NNS', 'savage_NNP']"
vengeance_NN,71,0,['vengeance_NN']
churlish_JJ,11,0,['churlish_JJ']
fang_NN,25,0,"['fang_NN', 'fang_NNS', 'fang_NNP']"
honey_NN,24,0,"['honey_NN', 'honey_NNP']"
dew_NN,17,0,['dew_NN']
theology_NN,54,0,"['theology_NN', 'theology_NNS', 'theology_NNP']"
wound_VB,192,0,"['wound_VBG', 'wound_VBN', 'wound_VBD']"
engagement_NN,114,0,"['engagement_NN', 'engagement_NNS', 'engagement_NNP']"
barrier_NN,170,0,"['barrier_NN', 'barrier_NNS', 'barrier_NNP']"
obscure_JJ,49,0,['obscure_JJ']
administrator_NN,434,0,"['administrator_NNS', 'administrator_NN', 'administrator_NNPS', 'administrator_NNP']"
cooperate_VB,82,0,"['cooperate_VB', 'cooperate_VBP', 'cooperate_VBN', 'cooperate_VBG', 'cooperate_VBD', 'cooperate_VBZ']"
struggle_VB,487,0,"['struggle_VBG', 'struggle_VBP', 'struggle_VBZ', 'struggle_VB', 'struggle_VBD', 'struggle_VBN']"
desirous_JJ,40,0,['desirous_JJ']
frame_NN,144,0,"['frame_NN', 'frame_NNP', 'frame_NNS']"
wipe_VB,54,0,"['wipe_VB', 'wipe_VBG', 'wipe_VBP', 'wipe_VBN', 'wipe_VBD']"
clutter_NN,18,0,['clutter_NN']
song_NN,603,0,"['song_NNS', 'song_NN', 'song_NNPS']"
tragic_JJ,107,0,['tragic_JJ']
arouse_VB,557,0,"['arouse_VBN', 'arouse_VBP', 'arouse_VB', 'arouse_VBD', 'arouse_VBG', 'arouse_VBZ']"
transformation_NN,73,0,"['transformation_NNS', 'transformation_NN', 'transformation_NNPS', 'transformation_NNP']"
utter_JJ,228,0,['utter_JJ']
systematic_JJ,37,0,['systematic_JJ']
burn_VB,545,0,"['burn_VBG', 'burn_VBN', 'burn_VB', 'burn_VBP', 'burn_VBD', 'burn_VBZ']"
heating_NN,20,0,['heating_NN']
marriage_NN,441,0,"['marriage_NN', 'marriage_NNS', 'marriage_NNP']"
temptation_NN,159,0,"['temptation_NN', 'temptation_NNS']"
grace_NN,190,0,"['grace_NN', 'grace_NNP', 'grace_NNS']"
