,OlfN,TotalN,Tokens
country_NN,3743,0,"['country_NNS', 'country_NN', 'country_NNP', 'country_NNPS']"
others_NN,6887,0,['others_NNS']
issue_NN,3973,0,"['issue_NN', 'issue_NNS', 'issue_NNPS', 'issue_NNP']"
cope_VB,378,0,"['cope_VB', 'cope_VBP']"
fill_VB,602,0,"['fill_VB', 'fill_VBN', 'fill_VBG', 'fill_VBP', 'fill_VBZ', 'fill_VBD']"
void_NN,146,0,"['void_NN', 'void_NNS']"
inside_RB,241,0,['inside_RB']
crime_NN,429,0,"['crime_NN', 'crime_NNS', 'crime_NNP']"
human_JJ,2716,0,['human_JJ']
tragedy_NN,225,0,"['tragedy_NN', 'tragedy_NNS']"
sadness_NN,1263,0,"['sadness_NN', 'sadness_NNP']"
right_RB,3224,0,['right_RB']
push_VB,687,0,"['push_VBD', 'push_VB', 'push_VBN', 'push_VBP', 'push_VBG', 'push_VBZ']"
aside_RB,327,0,['aside_RB']
tax_NN,444,0,"['tax_NN', 'tax_NNS', 'tax_NNP']"
program_NN,3122,0,"['program_NN', 'program_NNS', 'program_NNP']"
design_VB,525,0,"['design_VBN', 'design_VBG', 'design_VBD', 'design_VB', 'design_VBZ', 'design_VBP']"
's_VB,14628,0,"[""'s_VBZ""]"
use_VB,6257,0,"['use_VBG', 'use_VB', 'use_VBZ', 'use_VBD', 'use_VBN', 'use_VBP']"
emotion_NN,3681,0,"['emotion_NNS', 'emotion_NN', 'emotion_NNP']"
inability_NN,293,0,"['inability_NN', 'inability_NNS']"
deal_VB,1402,0,"['deal_VB', 'deal_VBN', 'deal_VBG', 'deal_VBZ', 'deal_VBD', 'deal_VBP']"
pressure_NN,4856,0,"['pressure_NN', 'pressure_NNS', 'pressure_NNP']"
're_VB,8385,0,"[""'re_VBP""]"
corporate_JJ,260,0,['corporate_JJ']
head_NN,1411,0,"['head_NN', 'head_NNP', 'head_NNS']"
bear_VB,546,0,"['bear_VBG', 'bear_VBN', 'bear_VB', 'bear_VBD', 'bear_VBZ', 'bear_VBP']"
burden_NN,609,0,"['burden_NN', 'burden_NNS', 'burden_NNP']"
should_MD,22850,0,['should_MD']
tell_VB,4209,0,"['tell_VBP', 'tell_VBZ', 'tell_VB', 'tell_VBD', 'tell_VBN', 'tell_VBG']"
may_MD,24826,0,['may_MD']
guess_VB,717,0,"['guess_VBN', 'guess_VBP', 'guess_VB', 'guess_VBG', 'guess_VBZ', 'guess_VBD']"
george_NN,345,0,"['george_NNP', 'george_NN']"
position_NN,1411,0,"['position_NN', 'position_NNS']"
would_MD,28924,0,['would_MD']
meet_VB,1475,0,"['meet_VB', 'meet_VBZ', 'meet_VBD', 'meet_VBN', 'meet_VBG', 'meet_VBP']"
person_NN,5877,0,"['person_NN', 'person_NNS', 'person_NNP', 'person_NNPS']"
suffering_NN,422,0,"['suffering_NN', 'suffering_NNS']"
undeserving_JJ,15,0,['undeserving_JJ']
love_NN,3131,0,"['love_NN', 'love_NNP']"
badly_RB,827,0,['badly_RB']
bad_JJ,7769,0,"['bad_JJ', 'bad_JJR', 'bad_JJS']"
thing_NN,6415,0,"['thing_NNS', 'thing_NN', 'thing_NNP']"
reward_NN,217,0,"['reward_NNS', 'reward_NN']"
simple_JJ,581,0,"['simple_JJ', 'simple_JJS', 'simple_JJR']"
admiration_NN,327,0,['admiration_NN']
one_NN,2655,0,"['one_NN', 'one_NNS']"
might_MD,9230,0,['might_MD']
more_JJ,11016,0,['more_JJR']
far_RB,2539,0,"['far_RB', 'far_RBR']"
pretty_RB,2581,0,['pretty_RB']
sick_JJ,2229,0,"['sick_JJ', 'sick_JJR', 'sick_JJS']"
half_NN,540,0,"['half_NN', 'half_NNS']"
voting_NN,138,0,"['voting_NN', 'voting_NNP']"
ask_VB,4880,0,"['ask_VBD', 'ask_VB', 'ask_VBN', 'ask_VBG', 'ask_VBZ', 'ask_VBP']"
very_RB,20038,0,['very_RB']
quietly_RB,81,0,['quietly_RB']
right_NN,2561,0,"['right_NN', 'right_NNS', 'right_NNPS', 'right_NNP']"
always_RB,8335,0,['always_RB']
come_VB,8132,0,"['come_VBD', 'come_VBG', 'come_VBP', 'come_VB', 'come_VBZ', 'come_VBN']"
best_JJ,3025,0,"['best_JJS', 'best_JJ']"
tremendous_JJ,528,0,['tremendous_JJ']
support_NN,1452,0,"['support_NN', 'support_NNS']"
confident_JJ,7674,0,['confident_JJ']
comfortable_JJ,18992,0,['comfortable_JJ']
low_JJ,1473,0,"['low_JJ', 'low_JJS', 'low_JJR']"
full_JJ,2021,0,"['full_JJ', 'full_JJR', 'full_JJS']"
point_NN,2692,0,"['point_NN', 'point_NNS', 'point_NNP']"
just_RB,13465,0,['just_RB']
fine_JJ,1056,0,"['fine_JJ', 'fine_JJR', 'fine_JJS']"
'm_VB,5581,0,"[""'m_VBP""]"
rage_NN,385,0,"['rage_NN', 'rage_NNS']"
hatred_NN,625,0,"['hatred_NN', 'hatred_NNS', 'hatred_NNP']"
control_NN,2763,0,"['control_NN', 'control_NNS', 'control_NNP']"
world_NN,4169,0,"['world_NN', 'world_NNP', 'world_NNS']"
recession_NN,48,0,"['recession_NN', 'recession_NNS']"
send_VB,1286,0,"['send_VB', 'send_VBN', 'send_VBP', 'send_VBG', 'send_VBD', 'send_VBZ']"
suggestion_NN,452,0,"['suggestion_NN', 'suggestion_NNS', 'suggestion_NNP', 'suggestion_NNPS']"
free_JJ,28031,0,"['free_JJ', 'free_JJR', 'free_JJS']"
clearly_RB,1215,0,['clearly_RB']
together_RB,1148,0,['together_RB']
much_JJ,4539,0,['much_JJ']
ca_MD,2778,0,['ca_MD']
kill_VB,494,0,"['kill_VB', 'kill_VBN', 'kill_VBD', 'kill_VBP', 'kill_VBG', 'kill_VBZ']"
hope_NN,1082,0,"['hope_NN', 'hope_NNS', 'hope_NNP']"
keenly_RB,950,0,['keenly_RB']
build_VB,792,0,"['build_VBN', 'build_VBG', 'build_VB', 'build_VBZ', 'build_VBP', 'build_VBD']"
timing_NN,90,0,['timing_NN']
party_NN,1685,0,"['party_NNP', 'party_NN', 'party_NNS']"
make_VB,47278,0,"['make_VBG', 'make_VB', 'make_VBZ', 'make_VBD', 'make_VBP', 'make_VBN']"
presence_NN,2869,0,"['presence_NN', 'presence_NNP', 'presence_NNS']"
republican_NN,417,0,"['republican_NNP', 'republican_NNPS', 'republican_NNS', 'republican_NN']"
child_NN,9165,0,"['child_NN', 'child_NNS', 'child_NNP']"
lot_NN,3464,0,"['lot_NN', 'lot_NNS', 'lot_NNP']"
easy_JJ,1445,0,"['easy_JJ', 'easy_JJR', 'easy_JJS']"
love_VB,2132,0,"['love_VBN', 'love_VBP', 'love_VBD', 'love_VBZ', 'love_VB', 'love_VBG']"
sometimes_RB,5317,0,['sometimes_RB']
good_JJ,31151,0,"['good_JJ', 'good_JJR']"
let_VB,2951,0,"['let_VB', 'let_VBG', 'let_VBZ', 'let_VBD', 'let_VBP', 'let_VBN']"
binge_NN,60,0,"['binge_NN', 'binge_NNS']"
reaffirm_VB,33,0,"['reaffirm_VBG', 'reaffirm_VBN', 'reaffirm_VB', 'reaffirm_VBD', 'reaffirm_VBP', 'reaffirm_VBZ']"
small_JJ,2565,0,"['small_JJ', 'small_JJR', 'small_JJS']"
same_JJ,9690,0,['same_JJ']
hunch_NN,45,0,"['hunch_NN', 'hunch_NNS']"
something_NN,8723,0,"['something_NN', 'something_NNP']"
notice_VB,489,0,"['notice_VBN', 'notice_VB', 'notice_VBD', 'notice_VBP', 'notice_VBG']"
delight_NN,360,0,['delight_NN']
anticipation_NN,173,0,"['anticipation_NN', 'anticipation_NNS']"
saw_VB,1079,0,"['saw_VBD', 'saw_VBG']"
particularly_RB,1916,0,['particularly_RB']
about_RB,2378,0,['about_RB']
partner_NN,1016,0,"['partner_NN', 'partner_NNS', 'partner_NNP', 'partner_NNPS']"
nancy_NN,84,0,['nancy_NNP']
selfish_JJ,161,0,['selfish_JJ']
guilt_NN,2733,0,"['guilt_NN', 'guilt_NNS', 'guilt_NNP']"
well_RB,13847,0,"['well_RB', 'well_RBR']"
already_RB,3039,0,['already_RB']
squeeze_NN,172,0,"['squeeze_NN', 'squeeze_NNP']"
numerous_JJ,141,0,['numerous_JJ']
fence_NN,41,0,"['fence_NN', 'fence_NNS']"
lonely_JJ,1438,0,"['lonely_JJ', 'lonely_JJR', 'lonely_JJS']"
election_NN,479,0,"['election_NN', 'election_NNS', 'election_NNP', 'election_NNPS']"
little_JJ,7517,0,"['little_JJ', 'little_JJS']"
request_VB,204,0,"['request_VB', 'request_VBN', 'request_VBG', 'request_VBD', 'request_VBP']"
personal_JJ,3806,0,['personal_JJ']
element_NN,511,0,"['element_NNS', 'element_NN', 'element_NNP']"
possible_JJ,1251,0,['possible_JJ']
problem_NN,2962,0,"['problem_NNS', 'problem_NN', 'problem_NNP']"
