Word;Auditory;Gustatory;Haptic;Interoceptive;Olfactory;Visual;Exclusivity;DominantModality
a;2.214285714;0;0.428571429;0;0;2.428571429;0.478873239;Visual
a cappella;4.333333333;0;0.222222222;0.722222222;0;1.666666667;0.624;Auditory
aardvark;1.625;0.5625;1.625;0.0625;1.25;4.125;0.439189189;Visual
aback;1.294117647;0.058823529;0.294117647;1.352941176;0;2.823529412;0.484848485;Visual
abacus;1.555555556;0.166666667;3.722222222;0.277777778;0.111111111;3.944444444;0.392045455;Visual
abandon;0.941176471;0.117647059;0.294117647;2.117647059;0.058823529;2.176470588;0.371134021;Visual
abandoned;1.444444444;0;0.055555556;1.666666667;0;2.777777778;0.46728972;Visual
abandonee;1.9375;0;1.375;0.5625;0.25;3.9375;0.488372093;Visual
abandoner;0.571428571;0;0.142857143;1.642857143;0;2.214285714;0.484375;Visual
abandonment;2.133333333;0.066666667;1.2;2.933333333;0.066666667;3;0.312056738;Visual
abasement;2.833333333;0.166666667;0.666666667;1.25;0.166666667;3;0.350515464;Visual
abbreviate;2.4;0;0.15;0.45;0;2.65;0.469026549;Visual
abbreviated;1.888888889;0;0.277777778;0.444444444;0;3.111111111;0.54368932;Visual
abbreviation;2.736842105;0.052631579;0.157894737;0.473684211;0;3.947368421;0.535714286;Visual
abdicate;2.333333333;0.166666667;0.166666667;0.416666667;0.25;3.25;0.46835443;Visual
abdomen;0.588235294;0.235294118;3.294117647;2.352941176;0.235294118;3.647058824;0.329545455;Visual
abdominal;0.933333333;0.2;3.2;2.733333333;0.2;3.8;0.325301205;Visual
abdominally;0.411764706;0.470588235;0.882352941;2.058823529;0.176470588;1.352941176;0.351648352;Interoceptive
abduct;1.736842105;0;1;0.578947368;0.105263158;2.894736842;0.458333333;Visual
abductee;1.25;0.1;0.6;0.55;0.1;2.9;0.509090909;Visual
abduction;2.058823529;0;1.529411765;2.176470588;0;4;0.409638554;Visual
abductor;2.352941176;0.294117647;1.823529412;0.941176471;0.352941176;3.058823529;0.313333333;Visual
abhor;1.695652174;0;0.173913043;2.086956522;0.173913043;1.782608696;0.352941176;Interoceptive
abhorrence;1.3125;0.1875;0.5;2.75;0.4375;1.5;0.38317757;Interoceptive
abhorrently;2.266666667;0.866666667;0.466666667;2.733333333;1;2.266666667;0.236111111;Interoceptive
abhorring;1;0.2;0;3.2;0.2;1.4;0.533333333;Interoceptive
abide;1.1875;0.0625;0.4375;1.1875;0.1875;1.6875;0.342105263;Visual
abiding;0.533333333;0.133333333;0.133333333;1.466666667;0.2;0.6;0.434782609;Interoceptive
abidingly;1.583333333;0.083333333;0.166666667;1.583333333;0.083333333;1.75;0.317460317;Visual
ability;1.222222222;0.277777778;0.833333333;2.555555556;0.166666667;2;0.338582677;Interoceptive
ablaze;1.470588235;0;1.117647059;0.823529412;0.941176471;3.705882353;0.459854015;Visual
able;1.133333333;0.933333333;1.266666667;3.066666667;0.666666667;2;0.264705882;Interoceptive
ably;1.176470588;0;0.235294118;1.176470588;0;2.529411765;0.494252874;Visual
abnormal;1.894736842;1.263157895;2;2.052631579;1.526315789;3;0.147982063;Visual
abnormality;1.421052632;0.684210526;1.842105263;1.526315789;0.789473684;3.052631579;0.254237288;Visual
abnormally;1.055555556;0.444444444;1.111111111;2.388888889;0.444444444;2.555555556;0.263888889;Visual
aboard;1.19047619;0;0.714285714;0.714285714;0.238095238;2.857142857;0.5;Visual
abode;0.866666667;0.133333333;2.066666667;0.733333333;1.2;3.6;0.403100775;Visual
abolish;2.12;0.24;0.96;1.12;0.16;2.32;0.312138728;Visual
abolishable;1.666666667;0;0.4;0.466666667;0;2.066666667;0.449275362;Visual
abolisher;0.642857143;0.142857143;0.428571429;0.642857143;0.285714286;2.285714286;0.483870968;Visual
abolishment;2.294117647;0;0.294117647;0.294117647;0;2.882352941;0.5;Visual
abolition;0.727272727;0;0.272727273;1.181818182;0;1.272727273;0.368421053;Visual
abolitionism;2;0.058823529;0.117647059;0.823529412;0.058823529;1.764705882;0.402439024;Auditory
abolitionist;2;0.083333333;0.5;0.416666667;0.166666667;2.166666667;0.390625;Visual
abominable;1.882352941;0.294117647;0.470588235;1.294117647;0.117647059;2.470588235;0.36036036;Visual
abominableness;2.727272727;0.454545455;0.636363636;1.636363636;0.545454545;3.727272727;0.336448598;Visual
abominably;1.583333333;0.583333333;0.583333333;1.25;0.75;2.833333333;0.296703297;Visual
abominate;1.173913043;0.47826087;0.695652174;1.304347826;0.47826087;2.52173913;0.307189542;Visual
abomination;1.75;0.05;0.35;1.35;0.15;3.2;0.459854015;Visual
aboriginal;2.588235294;0.058823529;0.176470588;0.058823529;0.294117647;3.823529412;0.537815126;Visual
abort;2.0625;0;0.375;1.5;0;2.8125;0.416666667;Visual
aborted;1.631578947;0.526315789;0.894736842;1.263157895;0.578947368;3;0.313333333;Visual
abortion;0.823529412;0.058823529;0.705882353;2.470588235;0.117647059;2.235294118;0.376146789;Interoceptive
abortionist;1.666666667;0;0.444444444;0.666666667;0;2.722222222;0.494949495;Visual
abortive;1.571428571;0;0.142857143;0.5;0;2.214285714;0.5;Visual
abortively;1.266666667;0;0.266666667;0.866666667;0;1.733333333;0.419354839;Visual
abound;0.3125;0.25;0.25;0.625;0.1875;1.5;0.42;Visual
abounding;0.5625;0.375;0.5;0.625;0.0625;1.6875;0.426229508;Visual
about;1.4375;0;0.125;0.4375;0;1.1875;0.450980392;Auditory
above;0.294117647;0;0.470588235;0.823529412;0;3.235294118;0.670731707;Visual
above all;0.55;0;0.55;1.05;0;1;0.333333333;Interoceptive
aboveboard;2.176470588;0.117647059;0.176470588;1.294117647;0.235294118;3.235294118;0.430894309;Visual
aboveground;1.15;0;0.75;0.45;0.45;4.4;0.611111111;Visual
abovementioned;1.333333333;0.066666667;0.2;0.066666667;0.133333333;2.066666667;0.517241379;Visual
abracadabra;1.857142857;0;0;0.357142857;0;1.071428571;0.565217391;Auditory
abrasion;0.705882353;0.176470588;3.294117647;1.647058824;0;2.411764706;0.4;Haptic
abrasive;1.333333333;0.466666667;4.266666667;0.8;0.4;2;0.417266187;Haptic
abrasively;1.882352941;0;3.117647059;1.058823529;0;1.588235294;0.407692308;Haptic
abrasiveness;2.05;0.35;3.65;1.55;0.05;2;0.373056995;Haptic
abreast;0.333333333;0;0.733333333;0.466666667;0;3.133333333;0.671428571;Visual
abridge;1.416666667;0.25;0.333333333;0.333333333;0.25;1.75;0.346153846;Visual
abridged;1.333333333;0;0.333333333;0.133333333;0;2.466666667;0.578125;Visual
abridgment;0.846153846;0.230769231;0.538461538;0.538461538;0.307692308;2.153846154;0.416666667;Visual
abroad;1.684210526;0.789473684;0.842105263;0.684210526;0.947368421;2.842105263;0.277027027;Visual
abrupt;2.368421053;0;0.631578947;1.578947368;0;2;0.36;Auditory
abruptly;3.058823529;0.058823529;0.470588235;1;0.058823529;3.882352941;0.448275862;Visual
abruptness;3.277777778;0.055555556;1.055555556;1.444444444;0.055555556;3;0.3625;Auditory
abscess;0.15;0.45;2.85;2.6;1.05;4;0.346846847;Visual
abscessed;0.294117647;1.294117647;2.647058824;3.235294118;1.941176471;3.882352941;0.269911504;Visual
absence;1.736842105;0.631578947;1.052631579;1.421052632;0.684210526;3.210526316;0.295180723;Visual
absent;1.486486486;0.459459459;0.864864865;0.918918919;0.324324324;3.243243243;0.4;Visual
absentee;0.766666667;0;0.166666667;0.533333333;0;2.2;0.6;Visual
absenteeism;0.866666667;0;0.066666667;0.266666667;0;1.8;0.6;Visual
absently;0.80952381;0.238095238;0.666666667;1.714285714;0.19047619;2.095238095;0.333333333;Visual
absentminded;1.823529412;0;0.176470588;2.235294118;0;2.647058824;0.384615385;Visual
absentmindedly;1.4375;0.3125;0.3125;1.75;0.25;1.4375;0.272727273;Interoceptive
absentmindedness;1.117647059;0;0.294117647;2.235294118;0.058823529;2;0.391752577;Interoceptive
absentness;0.681818182;0.227272727;0.681818182;1.090909091;0.363636364;3.227272727;0.47826087;Visual
absinthe;0.076923077;4.230769231;0.846153846;2.461538462;2.538461538;2.846153846;0.319526627;Gustatory
absolute;1.5625;0.0625;0.6875;1.625;0.0625;1.8125;0.301075269;Visual
absolutely;1.222222222;0.111111111;0.277777778;1.5;0.111111111;1.888888889;0.347826087;Visual
absoluteness;2.375;0.3125;0.5;1.6875;0.3125;2.5625;0.290322581;Visual
absolution;0.947368421;0.052631579;0.052631579;1.368421053;0.052631579;1.210526316;0.357142857;Interoceptive
absolutism;1.307692308;0;0.076923077;0.769230769;0;0.692307692;0.459459459;Auditory
absolutist;2.692307692;0.384615385;0.692307692;0.923076923;0.384615385;1.846153846;0.333333333;Auditory
absolvable;1.733333333;0;0.133333333;1.266666667;0;2.133333333;0.405063291;Visual
absolve;2.117647059;0;0.294117647;1.470588235;0;1.352941176;0.404494382;Auditory
absorb;0.333333333;0.194444444;2.194444444;0.916666667;0.055555556;3.388888889;0.470588235;Visual
absorbability;0.642857143;0.642857143;2.25;0.821428571;0.428571429;3.392857143;0.362445415;Visual
absorbable;0.4;0.2;2.1;0.65;0.2;3.2;0.444444444;Visual
absorbed;0.947368421;0.368421053;1.368421053;2.368421053;0.157894737;2.473684211;0.301369863;Visual
absorbency;0.157894737;0.052631579;2.210526316;0.315789474;0.210526316;2.526315789;0.451923077;Visual
absorbent;0.5;0.125;2.8125;0.3125;0.1875;3.375;0.444444444;Visual
absorber;1.1875;0.25;2.625;0.8125;0.4375;3.375;0.35971223;Visual
absorbing;0.65;0.4;1.6;1.35;0.2;2.5;0.343283582;Visual
absorbingly;0.529411765;0.352941176;1.470588235;0.764705882;0.352941176;2.411764706;0.35;Visual
absorption;0.714285714;0.714285714;2.285714286;2.071428571;0.357142857;3;0.2890625;Visual
absorptiveness;0.2;0.066666667;2.333333333;0.533333333;0.133333333;3.333333333;0.494949495;Visual
abstain;0.6875;0.5;0.625;2.125;0.3125;1.125;0.337209302;Interoceptive
abstainer;1.4375;0.0625;0.1875;0.8125;0.3125;2.1875;0.425;Visual
abstention;1;0;0;0.3;0;1.3;0.5;Visual
abstinence;1.263157895;0.263157895;0.684210526;2.105263158;0.263157895;1.578947368;0.299145299;Interoceptive
abstinent;0.789473684;0.157894737;0.947368421;1.894736842;0.105263158;1.263157895;0.346938776;Interoceptive
abstinently;1.266666667;0.533333333;0.933333333;1.2;0.466666667;2.2;0.262626263;Visual
abstract;1.157894737;0.263157895;1.105263158;1.052631579;0.157894737;3.578947368;0.467625899;Visual
abstracted;1.266666667;0;0.4;0.8;0;2.333333333;0.486111111;Visual
abstractedly;1.1875;0.25;0.4375;0.9375;0.0625;2.75;0.477777778;Visual
abstractedness;1.941176471;0.117647059;0.764705882;1.117647059;0.176470588;3.058823529;0.409836066;Visual
abstraction;1.375;0;0.3125;0.6875;0.0625;2.5;0.506329114;Visual
abstractionism;2.363636364;0.090909091;0.545454545;1;0.090909091;4;0.483146067;Visual
abstractionist;0.583333333;0.166666667;0.416666667;0.75;0.416666667;2.916666667;0.523809524;Visual
abstractive;1.6875;0.3125;0.75;0.875;0.3125;2.9375;0.381818182;Visual
abstractly;1.666666667;0.277777778;0.555555556;2.166666667;0.222222222;2.833333333;0.338129496;Visual
abstractness;1.875;0.0625;1;1.8125;0.125;3.4375;0.406015038;Visual
absurd;3.5625;0.125;0.3125;1.375;0.125;2.75;0.416666667;Auditory
absurdity;2.764705882;0.117647059;0.117647059;1.647058824;0.117647059;2.882352941;0.361538462;Visual
absurdly;2.555555556;0.333333333;0.388888889;1.666666667;0.5;2.388888889;0.283687943;Auditory
absurdness;2.666666667;0.066666667;0.466666667;1.6;0.133333333;3.4;0.4;Visual
abundance;0.823529412;0.647058824;1.882352941;0.411764706;0.411764706;4.352941176;0.462068966;Visual
abundant;1.357142857;0.357142857;1.5;0.928571429;0.428571429;3.785714286;0.41025641;Visual
abundantly;1.227272727;0.227272727;1.136363636;0.727272727;0.272727273;3.545454545;0.464968153;Visual
abuse;3;0.1;2.7;2.65;0.05;4.2;0.326771654;Visual
abuser;3.111111111;0.444444444;3.5;2.111111111;0.833333333;3.055555556;0.234042553;Haptic
abusive;2.15;0;1.6;2.25;0;3.15;0.344262295;Visual
abusively;2.555555556;0;0.888888889;1.555555556;0;3.333333333;0.4;Visual
abusiveness;3.052631579;0.052631579;2.315789474;1.947368421;0;3.421052632;0.317073171;Visual
abysmally;2;0.3;0.5;1.533333333;0.433333333;2.333333333;0.286384977;Visual
abyss;1.533333333;0.066666667;0.666666667;2.066666667;0.066666667;3.866666667;0.459677419;Visual
academia;1.777777778;0.111111111;0.166666667;0.888888889;0.111111111;2.444444444;0.424242424;Visual
academic;1.285714286;0.071428571;0.071428571;0.357142857;0.142857143;2.214285714;0.517241379;Visual
academic year;1.166666667;0.305555556;0.777777778;1.111111111;0.333333333;1.888888889;0.28358209;Visual
academically;2.4;0.05;0.4;1.25;0.25;3;0.401360544;Visual
academy;1.166666667;0.055555556;0.388888889;0.444444444;0.055555556;3.611111111;0.621359223;Visual
accelerant;0.578947368;0.052631579;0.736842105;1.052631579;1;2.210526316;0.38317757;Visual
accelerate;1.684210526;0;1.210526316;2.473684211;0.157894737;2.684210526;0.326923077;Visual
accelerated;1.5;0;1.055555556;2.611111111;0.166666667;2.666666667;0.333333333;Visual
acceleration;2.529411765;0.411764706;1.764705882;2.117647059;0.705882353;3.882352941;0.304123711;Visual
accelerative;1.933333333;0.266666667;0.733333333;1;0.2;3.133333333;0.403669725;Visual
accelerator;2.25;0;1.25;1.65;0.05;2.5;0.324675325;Visual
acceleratory;1.9;0;1;2.5;0;2.8;0.341463415;Visual
accelerometer;0.263157895;0;1.105263158;0.210526316;0;3.368421053;0.680851064;Visual
accent;4.052631579;0.473684211;0.210526316;0.210526316;0.263157895;0.736842105;0.646017699;Auditory
accentually;1.3125;0;0.0625;0;0;0.5625;0.677419355;Auditory
accentuate;2.928571429;0.5;0.785714286;0.857142857;0.5;2.571428571;0.298245614;Auditory
accentuation;2;0.3125;0.4375;0.375;0.1875;1.625;0.367088608;Auditory
accept;2.529411765;0.058823529;1.294117647;1.764705882;0.235294118;2.764705882;0.31292517;Visual
acceptability;1.055555556;0;0.611111111;1.944444444;0.111111111;1.666666667;0.360824742;Interoceptive
acceptable;2.162790698;1.279069767;1.209302326;2.418604651;1.279069767;2.906976744;0.150826446;Visual
acceptableness;1.947368421;0.421052632;1.052631579;1.578947368;0.631578947;3.263157895;0.319526627;Visual
acceptably;1.944444444;0.444444444;0.833333333;1.111111111;0.222222222;2.222222222;0.295081967;Visual
acceptance;2.941176471;0.235294118;1.117647059;2.882352941;0.352941176;2.882352941;0.259887006;Auditory
acceptant;2.15;0.25;0.75;1.05;0.05;2.4;0.353383459;Visual
accepted;2.2;0.4;0.85;3;0.35;2.75;0.277486911;Interoceptive
acceptor;1.8;0;0.533333333;0.266666667;0;3.066666667;0.541176471;Visual
access;1.1;0.45;1.25;0.75;0.35;2.35;0.32;Visual
accessibility;1.0625;0;1.125;0.625;0;3;0.516129032;Visual
accessible;0.578947368;0.315789474;0.736842105;0.578947368;0.157894737;3.210526316;0.547169811;Visual
accessibly;0.588235294;0;1.058823529;0.411764706;0;3.529411765;0.631578947;Visual
accessorize;0.777777778;0.166666667;2.055555556;0.333333333;0.111111111;3.722222222;0.503875969;Visual
accessory;0.823529412;0.117647059;2.529411765;0.235294118;0.235294118;4.176470588;0.5;Visual
accident;3.3125;0;1.0625;1.3125;0.3125;4.375;0.421686747;Visual
accidental;1.85;0.25;0.85;1.3;0.6;3.15;0.3625;Visual
accidentally;1.666666667;0.277777778;1;1.388888889;0.5;2.611111111;0.313432836;Visual
accidently;2.0625;0.125;0.375;0.875;0.125;2.75;0.415841584;Visual
acclaim;2.5;0.285714286;0.642857143;1.285714286;0.214285714;2.714285714;0.327102804;Visual
acclaimer;3.636363636;0.272727273;0.454545455;0.545454545;0.363636364;3.363636364;0.389473684;Auditory
acclamation;1.785714286;0.214285714;0.428571429;1.285714286;0.071428571;1.571428571;0.32;Auditory
acclimate;0.529411765;0.058823529;0.470588235;2.411764706;0.176470588;2.117647059;0.408163265;Interoceptive
acclimation;1.4375;0.875;0.8125;2.125;0.6875;1.75;0.18699187;Interoceptive
acclimatization;0.733333333;0.4;0.8;2.266666667;0.333333333;1.6;0.315217391;Interoceptive
acclimatize;0.333333333;0.166666667;0.083333333;2.083333333;0.083333333;2;0.421052632;Interoceptive
accolade;3.285714286;0;0.428571429;0.642857143;0;2.714285714;0.464646465;Auditory
accommodate;1.111111111;0.277777778;0.888888889;0.944444444;0.333333333;2.5;0.366972477;Visual
accommodating;1.9;0;0.35;1.05;0.05;1.8;0.368932039;Auditory
accommodatingly;1.5;0.3125;0.25;1.0625;0.1875;2;0.341176471;Visual
accommodation;1.3;0.05;0.9;1.05;0.25;2.95;0.446153846;Visual
accommodative;2.4;0.2;0.4;0.866666667;0.2;3.133333333;0.407407407;Visual
accommodator;2.466666667;0.066666667;0.133333333;0.933333333;0.066666667;3.266666667;0.461538462;Visual
accompanier;1.619047619;0.142857143;0.476190476;0.19047619;0.238095238;2.80952381;0.486956522;Visual
accompaniment;2.461538462;0.230769231;0.615384615;0.923076923;0.230769231;2.846153846;0.357894737;Visual
accompany;1.235294118;0.411764706;1.117647059;1.176470588;0.176470588;2.941176471;0.391666667;Visual
accomplice;1.611111111;0.055555556;1.055555556;1.111111111;0.555555556;2.722222222;0.375;Visual
accomplish;1.5;0.555555556;1.055555556;2.333333333;0.777777778;2.111111111;0.213333333;Interoceptive
accomplishable;1.736842105;0;0.421052632;1.578947368;0;2.368421053;0.387931034;Visual
accomplished;1.789473684;0.131578947;0.315789474;2.184210526;0.078947368;2.631578947;0.357933579;Visual
accomplisher;1.166666667;0.166666667;0.277777778;0.722222222;0.166666667;2.611111111;0.47826087;Visual
accomplishment;1.833333333;0.055555556;0.277777778;2.555555556;0.111111111;3.333333333;0.401360544;Visual
accord;0.866666667;0.066666667;0.066666667;0.733333333;0.066666667;0.933333333;0.317073171;Visual
accordance;1.65;0.05;0.3;1.2;0.05;2;0.371428571;Visual
accordantly;1.074074074;0.185185185;0.62962963;0.962962963;0.185185185;2.148148148;0.378571429;Visual
according;2.5;0.375;0.25;0.5;0.375;1.625;0.4;Auditory
accordingly;1.875;0.1875;0.25;0.9375;0.1875;2.25;0.362637363;Visual
accordion;4.631578947;0.157894737;2.631578947;0.894736842;0.210526316;3.526315789;0.371179039;Auditory
accordionist;3.333333333;0.166666667;0.555555556;0.388888889;0.222222222;2.888888889;0.419117647;Auditory
accosted;1.823529412;0;0.941176471;1.294117647;0;2.764705882;0.405172414;Visual
account;2.016522719;0.461697334;0.811428214;0.829327826;0.511953937;2.66422581;0.301916577;Visual
accountability;1.95;0.4;0.65;1.9;0.45;2.2;0.238410596;Visual
accountable;1.666666667;0.066666667;0.666666667;1.466666667;0;1.666666667;0.301204819;Auditory
accountableness;2.058823529;0;0.470588235;1.176470588;0;1.941176471;0.364583333;Auditory
accountably;2.052631579;0.105263158;0.473684211;1.210526316;0.210526316;2.684210526;0.3828125;Visual
accountancy;0.933333333;0.266666667;1.133333333;0.266666667;0.266666667;3;0.465909091;Visual
accountant;2;0;0.444444444;0.111111111;0.166666667;3.944444444;0.591666667;Visual
accounting;1.590909091;0.363636364;0.818181818;0.545454545;0.363636364;2.772727273;0.373239437;Visual
accredit;1.882352941;0.705882353;0.823529412;1.352941176;0.411764706;2.470588235;0.269230769;Visual
accreditation;1.4;0;0.133333333;0.133333333;0;2.133333333;0.561403509;Visual
accredited;1.588235294;0;0;0.470588235;0;2.705882353;0.567901235;Visual
accrue;0.823529412;0.058823529;0.647058824;0.529411765;0.058823529;2.529411765;0.53164557;Visual
accruement;0.727272727;0;0.636363636;0.545454545;0;3.272727273;0.631578947;Visual
accumulate;1.266666667;0.066666667;2.333333333;0.333333333;0.266666667;3.733333333;0.458333333;Visual
accumulation;0.578947368;0.263157895;1.105263158;0.789473684;0.157894737;3.157894737;0.495652174;Visual
accumulative;1.333333333;0.388888889;1.555555556;0.611111111;0.388888889;3.055555556;0.363636364;Visual
accumulatively;1.470588235;0.411764706;1.117647059;0.882352941;0.470588235;3.058823529;0.357142857;Visual
accumulativeness;0.538461538;0.076923077;0.769230769;0.538461538;0.076923077;2.230769231;0.509090909;Visual
accumulator;1;0;0.307692308;0.230769231;0.230769231;2.615384615;0.596491228;Visual
accuracy;2.277777778;0.666666667;1.111111111;0.5;0.666666667;4.222222222;0.394117647;Visual
accurate;2.027027027;0.621621622;1.621621622;1.135135135;0.621621622;3.324324324;0.289017341;Visual
accurately;1.5625;0.25;0.8125;0.5625;0.25;2.8125;0.41;Visual
accurateness;1.631578947;0.368421053;0.421052632;1.052631579;0.526315789;3.105263158;0.385185185;Visual
accursed;2.043478261;0.130434783;0.391304348;1.52173913;0.130434783;2.260869565;0.32885906;Visual
accusable;2.315789474;0;0;0.263157895;0;1.894736842;0.517647059;Auditory
accusation;4.1875;0.125;0.0625;0.625;0.125;1.5625;0.61682243;Auditory
accusative;2.882352941;0.117647059;0.058823529;1;0;1.941176471;0.480392157;Auditory
accusatively;3.277777778;0.222222222;0.166666667;1.111111111;0.111111111;2;0.459677419;Auditory
accusatorial;3.230769231;0;0;0.230769231;0;2.153846154;0.575342466;Auditory
accusatory;3.058823529;0;0.352941176;1.588235294;0.117647059;2.529411765;0.4;Auditory
accuse;3.647058824;0.235294118;0.117647059;1.235294118;0.176470588;1.588235294;0.504201681;Auditory
accused;3.647058824;0;0.176470588;1.588235294;0;2.823529412;0.442857143;Auditory
accuser;3.5625;0.3125;0.6875;1.5;0.3125;3.375;0.333333333;Auditory
accusingly;3.333333333;0.060606061;0.272727273;1.333333333;0.03030303;1.96969697;0.471861472;Auditory
accustom;1.35;0.7;0.9;1.8;0.55;1.95;0.193103448;Visual
accustomed;1.277777778;0.5;0.555555556;2.055555556;0.5;1.888888889;0.229508197;Interoceptive
ace;0.4375;0;0;0.375;0;2.0625;0.717391304;Visual
acetaminophen;0.4375;2.0625;1.9375;3.4375;0.375;3.25;0.266304348;Interoceptive
acetone;0.529411765;0.411764706;0.764705882;0.058823529;3.117647059;2.470588235;0.416;Olfactory
acetylene;0.818181818;0.545454545;0.636363636;0;1.909090909;1.545454545;0.35;Olfactory
ache;1;0.0625;1.1875;4.375;0.0625;1.0625;0.556451613;Interoceptive
achievable;0.45;0;0.25;1.9;0.05;2.45;0.480392157;Visual
achieve;0.823529412;0.058823529;0.294117647;2.588235294;0.058823529;1.470588235;0.477777778;Interoceptive
achievement;2.235294118;0.117647059;0.411764706;2.176470588;0.117647059;3.647058824;0.405405405;Visual
achiever;1.944444444;0;0.611111111;2.277777778;0;3.111111111;0.391608392;Visual
achiness;0.666666667;0;2.333333333;4.666666667;0;0.666666667;0.56;Interoceptive
aching;0.575757576;0.03030303;1.666666667;4.212121212;0.03030303;0.878787879;0.56557377;Interoceptive
achingly;0.8;0;1.1;3.9;0;1;0.573529412;Interoceptive
achy;0.421052632;0;2;4.263157895;0;0.631578947;0.582733813;Interoceptive
acid;0.823529412;0.941176471;1.176470588;1.823529412;1.705882353;2.705882353;0.205128205;Visual
acid rain;1.529411765;0.941176471;1.352941176;0.352941176;1.588235294;3.235294118;0.320261438;Visual
acid test;0.8125;1.25;2.0625;1.625;1.1875;3.125;0.229813665;Visual
acidic;0.222222222;3.444444444;1.555555556;1.388888889;2.5;1.944444444;0.291457286;Gustatory
acidification;0.076923077;1;0.692307692;1.230769231;0.153846154;1.384615385;0.288135593;Visual
acidify;0.684210526;1.210526316;0.684210526;0.578947368;1.052631579;2.894736842;0.325925926;Visual
acidity;0.666666667;3.142857143;1.428571429;1.380952381;1.428571429;2.047619048;0.245283019;Gustatory
acidly;1.533333333;0.6;0.4;1;0.666666667;1.533333333;0.197674419;Auditory
acidometer;0.4;0.3;1.7;0.5;0.65;2.9;0.403100775;Visual
acknowledge;2.875;0;0.4375;1.75;0.125;2.4375;0.37704918;Auditory
acknowledgeable;2.4;0.266666667;0.333333333;1.066666667;0.466666667;2.066666667;0.323232323;Auditory
acknowledged;2.742857143;0.171428571;0.4;1.314285714;0.171428571;2.685714286;0.34351145;Auditory
acknowledgement;2.833333333;0;0.333333333;1.222222222;0;3.222222222;0.423357664;Visual
acne;0.352941176;0;2;0.529411765;0.176470588;3.823529412;0.555555556;Visual
acorn;0.8;1.266666667;3.066666667;0.133333333;0.866666667;3.933333333;0.377483444;Visual
acoustic;3.823529412;0.117647059;0.294117647;0.588235294;0.117647059;1;0.623762376;Auditory
acoustical;3.882352941;0.529411765;1.058823529;0.882352941;0.529411765;1.647058824;0.393103448;Auditory
acoustically;4.533333333;0;0.133333333;0.666666667;0;0.666666667;0.755555556;Auditory
acoustics;3.8125;0.125;0.6875;0.8125;0.125;1;0.561904762;Auditory
acquaint;2.2;0.066666667;0.6;1.266666667;0.066666667;3.333333333;0.433628319;Visual
acquaintance;3.15;0.15;1.25;0.25;0.4;4.25;0.433862434;Visual
acquainted;1.611111111;0;0.666666667;1.444444444;0.111111111;1.944444444;0.336538462;Visual
acquiesce;2.5;0.3;0.5;2.4;0.3;3.2;0.315217391;Visual
acquiescently;2.153846154;0.461538462;0.384615385;1.307692308;0.384615385;2.307692308;0.274725275;Visual
acquirable;0.888888889;0.444444444;1.111111111;1.222222222;0.333333333;2.388888889;0.32173913;Visual
acquire;0.823529412;0.647058824;2.176470588;1;0.588235294;2.823529412;0.277372263;Visual
acquired;1.947368421;0.736842105;1.894736842;0.789473684;0.631578947;3.368421053;0.292134831;Visual
acquirement;1.117647059;0.882352941;1.764705882;0.764705882;0.588235294;2.647058824;0.265151515;Visual
acquirer;1.473684211;0.315789474;0.631578947;0.578947368;0.105263158;2.631578947;0.440366972;Visual
acquisition;1.105263158;0.157894737;1;0.421052632;0.263157895;2.842105263;0.463636364;Visual
acquisitive;1.083333333;0;0.583333333;1.083333333;0;2.25;0.45;Visual
acquisitively;1.636363636;0.818181818;1.181818182;1.636363636;0.727272727;2;0.159090909;Visual
acquit;2.8;0.133333333;0.266666667;0.266666667;0;2.266666667;0.488372093;Auditory
acquittal;2.823529412;0.235294118;0.352941176;1.058823529;0.235294118;2.823529412;0.34375;Visual
acquitter;1.555555556;0.055555556;0.277777778;0.555555556;0.111111111;1.611111111;0.373333333;Visual
acre;0.6;0.05;0.8;0.4;0.25;3.45;0.612612613;Visual
acrid;0.25;2;0.5;0.416666667;3.416666667;0.416666667;0.452380952;Olfactory
acrimoniously;2.875;0.3125;0.5;1.1875;0.3125;2.4375;0.336065574;Auditory
acrobat;1.222222222;0;0.722222222;0.777777778;0;4.166666667;0.60483871;Visual
acrobatic;0.4375;0.0625;1;1.0625;0.0625;3.25;0.542553191;Visual
acrobatically;1.071428571;0;1.285714286;1.357142857;0;3.571428571;0.490196078;Visual
acrobatics;1;0.277777778;0.5;0.722222222;0.444444444;3.777777778;0.520661157;Visual
acronym;2.733333333;0.066666667;0.066666667;0.266666667;0.066666667;3.133333333;0.484210526;Visual
acrophobia;0.083333333;0;0.416666667;3.75;0;1.333333333;0.671641791;Interoceptive
across;0.739130435;0;0.434782609;0.217391304;0;3.695652174;0.726495726;Visual
acrylic;0.5;0.111111111;2.722222222;0.222222222;1.166666667;3.333333333;0.4;Visual
act;2.571428571;0.238095238;0.571428571;0.80952381;0.238095238;3.19047619;0.3875;Visual
act on;1.647058824;0.235294118;0.529411765;1.470588235;0.294117647;2.823529412;0.369747899;Visual
act out;2.1;0.1;0.65;1.8;0.15;2.75;0.350993377;Visual
act upon;1.65;0;0.8;1.7;0.15;2.5;0.367647059;Visual
acting;3.117647059;0.058823529;0.823529412;1.176470588;0;4;0.435897436;Visual
action;2.625;0.25;1;2.3125;0.3125;4.0625;0.360946746;Visual
