Word;Auditory;Gustatory;Haptic;Interoceptive;Olfactory;Visual;Exclusivity;DominantModality
ballpoint;0.421052632;0.263157895;2.789473684;0.473684211;0.263157895;3.473684211;0.417808219;Visual
ballpoint pen;0.058823529;0;3.411764706;0.058823529;0.058823529;4.588235294;0.561151079;Visual
ballroom;1.611111111;0.111111111;1.611111111;0.611111111;0.111111111;3.611111111;0.456521739;Visual
ballsy;1.722222222;0;0.277777778;2.777777778;0;2.5;0.381679389;Interoceptive
balm;0.352941176;0.647058824;2.647058824;0.823529412;2.117647059;1.882352941;0.270833333;Haptic
balminess;0.875;0.8125;2.5625;2.9375;0.9375;2.0625;0.208588957;Interoceptive
balmy;0.411764706;0.352941176;3;1.882352941;0.705882353;1.176470588;0.3515625;Haptic
baloney;1.214285714;3.571428571;2.142857143;1.285714286;2.5;3.428571429;0.166666667;Gustatory
balsam;0.166666667;0.75;1.833333333;0.166666667;1.25;2.666666667;0.365853659;Visual
balsamic;0.3125;4.1875;1.125;0.3125;2.875;2.875;0.331550802;Gustatory
balsawood;0.666666667;0.2;3.4;0.066666667;1.4;3.533333333;0.374100719;Visual
bamboo;0.5;0.588235294;3.382352941;0.088235294;1;4.088235294;0.414634146;Visual
bamboozle;1.533333333;0;0.133333333;1.266666667;0;1.266666667;0.365079365;Auditory
bamboozled;2.166666667;0.166666667;0.333333333;1.888888889;0.166666667;2.277777778;0.301587302;Visual
bamboozlement;1.833333333;0.083333333;0.5;0.833333333;0.5;1.666666667;0.323076923;Auditory
bamboozler;2.625;0;0.25;0.8125;0.3125;2.875;0.418181818;Visual
ban;2.121212121;0.060606061;0.272727273;0.727272727;0.060606061;2.484848485;0.423280423;Visual
banana;0.157894737;4.473684211;2.210526316;0.157894737;2.473684211;3.894736842;0.322834646;Gustatory
banana peel;0.388888889;1;3.555555556;0.222222222;2.444444444;4.333333333;0.344186047;Visual
banana republic;1.1875;0.0625;0.625;0.375;0.1875;3.125;0.550561798;Visual
banana split;0.111111111;4.5;1.722222222;1.222222222;2.166666667;3.444444444;0.333333333;Gustatory
band;4.368421053;0;0.684210526;0.526315789;0.052631579;4.157894737;0.446236559;Auditory
bandage;0.238095238;0.047619048;2.904761905;0.380952381;0.238095238;3.523809524;0.474025974;Visual
bandaid;0.352941176;0.352941176;3.588235294;0.470588235;0.470588235;3.941176471;0.391025641;Visual
bandanna;0;0;2.25;0.25;0.1875;3.625;0.574257426;Visual
banded;0.485714286;0;0.971428571;0.257142857;0;2.8;0.620253165;Visual
banding;0.611111111;0.5;1.388888889;0.611111111;0.333333333;2.222222222;0.333333333;Visual
bandit;2.055555556;0;0.333333333;0.277777778;0;3.833333333;0.58974359;Visual
bandleader;4.076923077;0;0;0.461538462;0;4;0.477477477;Auditory
bandmaster;3.411764706;0.235294118;0.647058824;0.470588235;0.352941176;3.235294118;0.38028169;Auditory
bandsman;3;0;0.8;0.133333333;0.066666667;2.6;0.454545455;Auditory
bandstand;1.642857143;0;1.928571429;0.571428571;0;3.571428571;0.462962963;Visual
